1,2019-10-22,arctophilia,1
2,2019-11-21,shined,2
3,2019-11-18,worded,3
4,2019-09-13,futilitarian45,4
5,2019-09-23,ataunt4956,5
6,2019-10-20,BISDN974,6
7,2019-11-12,triumviry233,7
8,2019-11-23,Rivera,8
9,2019-11-19,anodynous746,9
10,2019-11-21,derogations16,10
11,2019-11-01,BISDN2,11
12,2019-10-29,Byzantines60,12
13,2019-09-08,phalanges365,13
14,2019-10-21,triples033,14
15,2019-09-13,prestissimo49,15
16,2019-10-19,triumviry,16
17,2019-08-01,uncourteously9,1
18,2019-11-17,road-roller3218,2
19,2019-09-18,humorizing,3
